,channelid,videoid,video_title,video_description,topiccategories,videothumbnails,videotags,videocommentcount,videodislikecount,videolikeCount,videoviewcount,categoryId
26,UCsooa4yRKGN_zEE8iknghZA,R3tbVHlsKhs,Does time exist? - Andrew Zimmerman Jones,"Download a free audiobook version of ""A Brief History of Time"" and support TED-Ed's nonprofit mission: https://adbl.co/2NWYjAh Check out our full book ...",,https://i.ytimg.com/vi/R3tbVHlsKhs/hqdefault.jpg,"['TED', 'TED-Ed', 'TED Ed', 'Teded', 'Ted Education', 'Andrew Zimmerman Jones', 'Nice Shoes', 'Time', 'Does time exist?']",5537,1654,116149,4059569,27
27,UCsooa4yRKGN_zEE8iknghZA,RhaepLsP5eg,The tragic myth of Orpheus and Eurydice - Brendan Pelsue,Check out our Patreon page: https://www.patreon.com/teded View full lesson: ...,"['Entertainment', 'Film']",https://i.ytimg.com/vi/RhaepLsP5eg/hqdefault.jpg,"['TED-Ed', 'TEDEd', 'TED Ed', 'TED Education', 'mythology', 'Greek myths', 'Orpheus and Eurydice', 'Brendan Pelsue', 'Anton Bogaty', 'poetry', 'romantic poetry', 'Hadestown', 'orpheus', 'eurydice', 'underworld', 'hades', 'tragic myth']",4431,1248,148073,5178141,27
28,UCsooa4yRKGN_zEE8iknghZA,p7HKvqRI_Bo,How does the stock market work? - Oliver Elfenbaum,"Download a free audiobook version of ""The Richest Man in Babylon"" and support TED-Ed's nonprofit mission: https://www.audible.com/ted-ed Check out our full ...",['Knowledge'],https://i.ytimg.com/vi/p7HKvqRI_Bo/hqdefault.jpg,"['TED', 'TED-Ed', 'TED Ed', 'Teded', 'Ted Education', 'Oliver Elfenbaum', 'Tom Gran', 'Madeleine Grossi', 'animation', 'ted ed audible', 'ted ed book rec', 'stock market', 'finance', 'stocks', 'trading', 'investment', 'how to invest', 'dutch east india company', 'profit', 'supply and demand', 'dow jones', 'earnings', 'money', 'business', 'stock market crash', 'buying stock', 'selling stock', 'economic boom', 'financial crisis', 'financial education', 'wall street', 'nyse', 'market share', 'stock broker', 'share holder', 'financial assets', 'currencies']",3567,1025,74532,2560202,27
29,UCsooa4yRKGN_zEE8iknghZA,wkPR4Rcf4ww,What makes something &quot;Kafkaesque&quot;? - Noah Tavlin,View full lesson: http://ed.ted.com/lessons/what-makes-something-kafkaesque-noah-tavlin The term Kafkaesque has entered the vernacular to describe ...,,https://i.ytimg.com/vi/wkPR4Rcf4ww/hqdefault.jpg,"['Noah Tavlin', 'Jeremiah Dickey', 'Kafka', 'Franz Kafka', 'kafkaesque', 'the trial', 'a hunger artist', 'Joseph K', 'reading between the lines', 'the metamorphosis', 'dreamlike narrative', 'Poseidon', 'disorienting narrative', 'paperwork', 'satire', 'bureacracy', 'absurdity', 'circular reasoning', 'tragicomedy', 'dream logic', 'characterisation', 'Gregor Samsa', 'TED', 'TED-Ed', 'Ted Education', 'Teded']",3156,1515,153051,5580330,27
30,UCsooa4yRKGN_zEE8iknghZA,NVd8kuufBhM,What really happened during the Salem Witch Trials - Brian A. Pavlac,Dig into how the infamous Salem Witch Trials began and why they remain a cautionary tale of the dangers of groupthink and scapegoating. -- You've been ...,,https://i.ytimg.com/vi/NVd8kuufBhM/hqdefault.jpg,"['salem witch trials', 'witch hunt', 'salem', 'massachusetts bay colony', 'salem witch hunt', 'witchcraft', 'magic', 'paranoia', 'religion', 'supernatural', 'puritans', 'colonial america', 'betty parris', 'abigail williams', 'devil', 'sarah osbourne', 'sarah good', 'tituba', 'false confessions', 'accusations', 'hanging', 'groupthink', 'scapegoating', 'fear', 'history', 'american history', 'nathaniel saltonstall', 'education', 'animation', 'brian pavlac', 'lucy animation studio', 'TED', 'TED-Ed', 'TED Ed', 'Teded', 'Ted Education']",4891,872,93228,2134917,27
31,UCsooa4yRKGN_zEE8iknghZA,arJLy3hX1E8,The psychology of narcissism - W. Keith Campbell,View full lesson: http://ed.ted.com/lessons/the-psychology-of-narcissism-w-keith-campbell Narcissism isn't just a personality type that shows up in advice ...,['Knowledge'],https://i.ytimg.com/vi/arJLy3hX1E8/hqdefault.jpg,"['W. Keith Campell', 'TOGETHER', 'narcissism', 'narcissistic personality disorder', 'psychology', 'personality disorder', 'grandiose narcissism', 'vulnerable narcissism', 'TED-ED', 'TED Ed', 'TEDEducation', 'TED']",8039,2739,123618,7127864,27
32,UCsooa4yRKGN_zEE8iknghZA,2tM1LFFxeKg,What makes muscles grow? - Jeffrey Siegel,"View full lesson: https://ed.ted.com/lessons/what-makes-muscles-grow-jeffrey-siegel We have over 600 muscles in our bodies that help bind us together, hold us ...",,https://i.ytimg.com/vi/2tM1LFFxeKg/hqdefault.jpg,"['TED', 'TED-Ed', 'TEDx', 'TED Education', 'Muscles', 'Health', 'Fitness', 'Exercise', 'Bones', 'Nervous system', 'Cytokines', 'Hypertrophy', 'Protein', 'Insulin growth factor', 'Genetics', 'Testosterone', 'Jeffrey Siegel']",5322,3150,237296,11324650,27
33,UCsooa4yRKGN_zEE8iknghZA,wUEl8KrMz14,Why sitting is bad for you - Murat Dalkilinç,View full lesson: http://ed.ted.com/lessons/why-sitting-is-bad-for-you-murat-dalkilinc Sitting down for brief periods can help us recover from stress or recuperate ...,['Knowledge'],https://i.ytimg.com/vi/wUEl8KrMz14/hqdefault.jpg,"['TED', 'TED-Ed', 'TEDx', 'TED Ed', 'Sitting', 'Disease', 'Sitting disease', 'Walk', 'Stand', 'Tissue', 'Spine', 'Numbness', 'Swelling', 'Nerves', 'Lungs', 'Blood flow', 'Inactivity', 'Stress', 'Lipprotein lipase', 'Enzyme', 'Brain', 'Concentration', 'Cancer', 'Heart disease', 'Diabetes', 'Kidney', 'Liver', 'Movement', 'Aerobics', 'Yoga', 'Stretch', 'Exercise']",4542,1323,109020,5577878,27
34,UCsooa4yRKGN_zEE8iknghZA,Qytj-DbXMKQ,How Thor got his hammer - Scott A. Mellor,Sign up for our newsletter and never miss an animation: http://bit.ly/TEDEdNewsletter View full lesson: ...,"['Film', 'Entertainment']",https://i.ytimg.com/vi/Qytj-DbXMKQ/hqdefault.jpg,"['TED', 'TED-Ed', 'TED Ed', 'Teded', 'Ted Education', 'Scott A. Mellor', 'Remus and Kiki', 'Thor', 'Norse mythology', 'Mjolnir', ""Thor's hammer"", 'Loki', 'animation']",5150,2687,92950,9140289,27
35,UCsooa4yRKGN_zEE8iknghZA,e6XeP9gQPmg,The myth of Thor&#39;s journey to the land of giants - Scott A. Mellor,"Download a free audiobook and support TED-Ed's nonprofit mission: http://adbl.co/2om4O4Q Check out Neil Gaiman's ""Norse Mythology"": http://bit.ly/2opZptA ...",['Music'],https://i.ytimg.com/vi/e6XeP9gQPmg/hqdefault.jpg,"['TED-Ed', 'TEDEd', 'TED Ed', 'TED Education', 'TED', 'Thor', 'mythology', 'Norse mythology', 'Nordic mythology', 'Valhalla', 'Asgard', 'legends', 'Scott A. Mellor', 'Rune F.B. Hansen']",2713,1586,88105,5572148,27
