,,ChannelInfo,Category,Subscribers ,Avg.Views ,NoxScore
143, 143     ↓    1  ,   SSSniperWolf ,  Entertainment  , 22.3M ↑  0.4% ,  3.63M   ↑   14.9% ,
144, 144     ↓    1  ,   Adele ,  Music  , 22.2M   -   ,  10.96M   ↑   0% ,
145, 145   ↑   1  ,   Lucas and Marcus ,  Entertainment  , 22.2M ↑  0.4% ,  2.2M   ↑   5.8% ,
146, 146   ↑   2  ,   Collins Key ,  Entertainment  , 22.1M ↑  0.4% ,  20.96M    ↓     1.9% ,
147, 147     ↓    2  ,   David Guetta ,  Music  , 22.1M   -   ,  2.33M   ↑   1.9% ,
148, 148     ↓    1  ,   1MILLION Dance Studio ,  Entertainment  , 22M   -   ,  256.25K    ↓     18.1% ,
149, 149     -   ,   KSI ,  Music  , 21.9M   -   ,  7.45M   ↑   0.9% ,
150, 150     -   ,   Beyoncé ,  Music  , 21.7M   -   ,  1.82M   ↑   4.3% ,
151, 151   ↑   3  ,   Amit Bhadana ,  Entertainment  , 21.5M ↑  0.5% ,  24.15M    ↓     2.6% ,
152, 152     -   ,   nigahiga ,  Entertainment  , 21.5M   -   ,  1.51M   ↑   0.4% ,
153, 153     ↓    2  ,   Nicki Minaj ,  Music  , 21.5M   -   ,  5.74M   ↑   0.3% ,
154, 154   ↑   1  ,   DisneyMusicVEVO ,  Music  , 21.4M ↑  0.5% ,  83.34K    ↓     35.6% ,
155, 155     ↓    2  ,   shane ,  Comedy  , 21.4M   -   ,  25M   ↑   0% ,
156, 156   ↑   1  ,   shfa2 - شفا ,  People & Blogs  , 21.4M ↑  1.4% ,  2.61M   ↑   2.1% ,
157, 157     ↓    1  ,   NickyJamTV ,  Music  , 21.1M   -   ,  35.91M   ↑   0.2% ,
158, 158     -   ,   Talking Tom ,  Gaming  , 21.1M ↑  0.5% ,  35.52M   ↑   4% ,
159, 159     -   ,   قناة طيور الجنة | toyoraljanahtv ,  Music  , 21.1M ↑  0.5% ,  683.38K   ↑   1.1% ,
160, 160   ↑   6  ,   ashish chanchlani vines ,  Comedy  , 21M ↑  1.9% ,  29.85M    ↓     4.4% ,
161, 161   ↑   1  ,   Jkk Entertainment ,  Comedy  , 21M ↑  1% ,  49.32M    ↓     0.4% ,
162, 162     ↓    2  ,   Las Ratitas ,  Entertainment  , 20.9M   -   ,  11.45M   ↑   4.1% ,
163, 163     ↓    2  ,   The Chainsmokers ,  Music  , 20.9M   -   ,  168.05K   ↑   0.7% ,
164, 164     ↓    1  ,   1theK (원더케이) ,  Entertainment  , 20.8M   -   ,  53.71K    ↓     60.8% ,
165, 165   ↑   3  ,   Desi Music Factory ,  Music  , 20.7M ↑  1.5% ,  77.07M   ↑   3.1% ,
166, 166     ↓    2  ,   Troom Troom ,  Howto & Style  , 20.7M ↑  0.5% ,  2.68M   ↑   19.4% ,
167, 167     ↓    2  ,   Valentina Pontes ,  Entertainment  , 20.6M   -   ,  431.2K    ↓     4.2% ,
168, 168     ↓    1  ,   The Weeknd ,  Music  , 20.5M ↑  0.5% ,  16.82M   ↑   0.7% ,
169, 169     -   ,   JennaMarbles ,  Comedy  , 20.3M   -   ,  4.15M   ↑   0.2% ,
170, 170     -   ,   Jake Paul ,  People & Blogs  , 20.3M ↑  0.5% ,  4.48M   ↑   2.3% ,
171, 171   ↑   3  ,   Marília Mendonça ,  Music  , 20.2M ↑  0.5% ,  101.16M   ↑   1.8% ,
172, 172     -   ,   DrossRotzank ,  Entertainment  , 20.2M ↑  0.5% ,  3.62M   ↑   0.3% ,
173, 173     ↓    2  ,   BuzzFeedVideo ,  People & Blogs  , 20.2M   -   ,  497.29K    ↓     23.2% ,
174, 174   ↑   1  ,   FBE ,  Entertainment  , 20.1M   -   ,  297.01K    ↓     1.4% ,
175, 175     ↓    2  ,   Chris Brown ,  Music  , 20.1M   -   ,  1.59M   ↑   0.1% ,
176, 176     -   ,   CanalCanalha ,  Comedy  , 20M   -   ,  3.28M   ↑   0.7% ,
177, 177     -   ,   Enrique Iglesias ,  Music  , 19.9M ↑  0.5% ,  230.68K   ↑   1.8% ,
178, 178     -   ,   KHANDESHI MOVIES ,  Comedy  , 19.8M ↑  0.5% ,  17.63M    ↓     0.1% ,
179, 179   ↑   2  ,   Renato Garcia ,  Entertainment  , 19.7M ↑  0.5% ,  1.24M    ↓     3.7% ,
180, 180   ↑   2  ,   TheDonato ,  Gaming  , 19.7M ↑  0.5% ,  2.52M    ↓     1.6% ,
181, 181     ↓    2  ,   Post Malone ,  Music  , 19.7M   -   ,  26.47M   ↑   0.3% ,
182, 182     ↓    2  ,   Vevo ,  Music  , 19.7M   -   ,  168.43K    ↓     1.3% ,
183, 183   ↑   5  ,   GMANetwork ,  Entertainment  , 19.6M ↑  1% ,  3.3K    ↓     22.4% ,
184, 184   ↑   2  ,   AuthenticGames ,  Gaming  , 19.5M ↑  0.5% ,  313.86K   ↑   6.4% ,
185, 185     ↓    1  ,   BabyBus - Nursery Rhymes ,  Education  , 19.5M ↑  0.5% ,  4.05M   ↑   7.3% ,
186, 186     ↓    1  ,   Jelly ,  Gaming  , 19.5M ↑  0.5% ,  1.04M   ↑   30.5% ,
187, 187   ↑   6  ,   Bollywood Classics ,  Music  , 19.4M ↑  1% ,  431.01K   ↑   13.6% ,
188, 188     ↓    1  ,   Tasty ,  Howto & Style  , 19.4M   -   ,  381.32K   ↑   5.5% ,
189, 189     ↓    6  ,   Skrillex ,  Music  , 19.4M   -   ,  27.78M   ↑   0.1% ,
190, 190     -   ,   5-Minute Crafts GIRLY ,  Howto & Style  , 19.3M   -   ,  190.89K    ↓     8.6% ,
191, 191     ↓    2  ,   Mister Max ,  Entertainment  , 19.3M   -   ,  615.15K   ↑   11.2% ,
192, 192     ↓    1  ,   toycantando ,  Music  , 19.3M ↑  0.5% ,  2.75M    ↓     12.2% ,
193, 193     ↓    1  ,   HaerteTest ,  Science & Technology  , 19.2M   -   ,  425.13K   ↑   2% ,
194, 194   ↑   1  ,   BB Ki Vines ,  Entertainment  , 19.2M ↑  0.5% ,  18.3M   ↑   0.9% ,
195, 195   ↑   1  ,   Technical Guruji ,  Science & Technology  , 19.2M ↑  0.5% ,  641.37K   ↑   1.4% ,
196, 196   ↑   2  ,   The ACE Family ,  People & Blogs  , 19.1M   -   ,  6.01M    ↓     2.3% ,
197, 197     -   ,   DJ Snake ,  Music  , 19.1M   -   ,  2.34M   ↑   0.5% ,
198, 198   ↑   2  ,   Voot Kids ,  Film & Animation  , 19.1M ↑  0.5% ,  793.92K    ↓     87% ,
199, 199   ↑   3  ,   ABP NEWS HINDI ,  News & Politics  , 19.1M ↑  0.5% ,  9.74K    ↓     23.5% ,
